city,loc,pop,state,zip
NEW BEDFORD,-70.93243,16236,MA,2746
NORTH DARTMOUTH,-70.995769,16383,MA,2747
PADANARAM VILLAG,-70.956521,10980,MA,2748
NORTH ATTLEBORO,-71.329757,22289,MA,2760
PLAINVILLE,-71.327454,6874,MA,2762
NORTH ATTLEBORO,-71.310353,2737,MA,2763
NORTH DIGHTON,-71.148523,3779,MA,2764
NORTON,-71.189441,14329,MA,2766
RAYNHAM,-71.046856,9804,MA,2767
REHOBOTH,-71.254453,7762,MA,2769
ROCHESTER,-70.852257,3270,MA,2770
SEEKONK,-71.322406,13375,MA,2771
SWANSEA,-71.212167,15865,MA,2777
BERKLEY,-71.076534,4438,MA,2779
TAUNTON,-71.10261,44894,MA,2780
WESTPORT,-71.089003,14154,MA,2790
ASHAWAY,-71.783745,2472,RI,2804
BARRINGTON,-71.317497,15849,RI,2806
BLOCK ISLAND,-71.574825,836,RI,2807
BRADFORD,-71.746453,2184,RI,2808
BRISTOL,-71.267558,21625,RI,2809
RICHMOND,-71.650279,1011,RI,2812
CHARLESTOWN,-71.661455,6663,RI,2813
CHEPACHET,-71.679483,8191,RI,2814
CLAYVILLE,-71.670589,45,RI,2815
COVENTRY,-71.576794,29842,RI,2816
WEST GREENWICH,-71.643549,3246,RI,2817
EAST GREENWICH,-71.474009,16180,RI,2818
EXETER,-71.607626,3774,RI,2822
FOSTER,-71.718748,5175,RI,2825
GREENE,-71.735607,1241,RI,2827
GREENVILLE,-71.556923,6945,RI,2828
HARRISVILLE,-71.653405,6384,RI,2830
HOPE,-71.561225,3653,RI,2831
RICHMOND,-71.734862,3466,RI,2832
JAMESTOWN,-71.376108,4999,RI,2835
RICHMOND,-71.683992,183,RI,2836
LITTLE COMPTON,-71.161215,3341,RI,2837
MANVILLE,-71.474113,3259,RI,2838
MIDDLETOWN,-71.30348,47687,RI,2840
NORTH KINGSTOWN,-71.462494,22325,RI,2852
NORTH SCITUATE,-71.624187,9563,RI,2857
OAKLAND,-71.642925,462,RI,2858
PASCOAG,-71.709866,7156,RI,2859
PAWTUCKET,-71.390713,45442,RI,2860
PAWTUCKET,-71.356001,27013,RI,2861
CENTRAL FALLS,-71.394527,17380,RI,2863
CUMBERLAND,-71.415419,29327,RI,2864
LINCOLN,-71.434777,14765,RI,2865
PORTSMOUTH,-71.252018,16707,RI,2871
PRUDENCE ISLAND,-71.311827,150,RI,2872
SAUNDERSTOWN,-71.442693,3196,RI,2874
SLATERSVILLE,-71.5682,639,RI,2876
SLOCUM,-71.537169,1114,RI,2877
TIVERTON,-71.180823,14310,RI,2878
NARRAGANSETT,-71.525138,13422,RI,2879
KINGSTON,-71.529239,7683,RI,2881
NARRAGANSETT,-71.46164,13596,RI,2882
PEACE DALE,-71.500057,1652,RI,2883
WARREN,-71.270165,11385,RI,2885
WARWICK,-71.447591,40845,RI,2886
WARWICK,-71.40836,20869,RI,2888
WARWICK,-71.390146,20849,RI,2889
WESTERLY,-71.812643,20290,RI,2891
RICHMOND,-71.599076,3943,RI,2892
WEST WARWICK,-71.518349,27821,RI,2893
WOOD RIVER JUNCT,-71.709512,684,RI,2894
NORTH SMITHFIELD,-71.513683,53733,RI,2895
RICHMOND,-71.683973,1508,RI,2898
PROVIDENCE,-71.415801,9093,RI,2903
CENTREDALE,-71.438102,28119,RI,2904
CRANSTON,-71.403146,24885,RI,2905
PROVIDENCE,-71.397065,31069,RI,2906
CRANSTON,-71.424039,25668,RI,2907
PROVIDENCE,-71.437684,35933,RI,2908
CRANSTON,-71.448165,34261,RI,2909
CRANSTON,-71.438331,21128,RI,2910
CENTREDALE,-71.474058,13858,RI,2911
EAST PROVIDENCE,-71.368785,22965,RI,2914
RIVERSIDE,-71.354244,18934,RI,2915
RUMFORD,-71.355938,8550,RI,2916
SMITHFIELD,-71.520666,12213,RI,2917
